FIELD, LONG NAME, TYPE, INTERPRETATION,
NoofPets,# of Pets,Character,Lookup,
NrAmtRntls,# or % of Rentals Allowed,Character,,
Depth,Depth,Character,,
DstSchrBus,Dist to School/School Bus,Character,,
DstPbrRpTr,Distance to Pub/Rapid Tr,Character,,
PID,P.I.D.#,Character,,
VwSpecify,View - Specify,Character,,
FixtRmvd,Fixtures Remvd,Character,,
FixtRntSpc,Fixt Rntd/Lsd - Specify,Character,,
Commission,Commission,Character,,
PrevPrice,Prev Price,Int,,
LotSzSF,Lot Sz (Sq.Ft.),Decimal,,
LotSzA,Lot Sz (Acres),Decimal,,
LotSzSqMtr,Lot Sz (Sq.Mtrs.),Decimal,,
LotSzH,Lot Sz (Hectares),Decimal,,
GrossTax,Gross Taxes,Decimal,,
NotTaxGrbg,Not Incl in Tax - Garbage,Decimal,,
NotTaxWtr,Not Incl in Tax - Water,Decimal,,
NotTaxDykg,Not Incl in Tax - Dyking,Decimal,,
NotTaxSwr,Not Incl in Tax - Sewer,Decimal,,
NotTaxOth,Not Incl in Tax - Other,Decimal,,
StratMtFee,Strata Maint Fee,Decimal,,
SPSqft,Sold Price per SqFt,Decimal,,
SPrLPRatio,SP/LP Ratio,Decimal,,
SPrOLPRati,SP/OLP Ratio,Decimal,,
AdjDate,Adjustment Date,Date,,
EffDate,Cancel Effective Date,Date,,
Bath9Lev,Bath9 Level,Character,Lookup,
Bath10Lev,Bath10 Level,Character,Lookup,
Bath11Lev,Bath11 Level,Character,Lookup,
Bath12Lev,Bath12 Level,Character,Lookup,
VirtlTrURL,Virtual Tour URL,Character,,
URL1,Property Brochure URL,Character,,
DDFInfoURL,DDF More Info URL,Character,,
URL2,Alt Feature Sheet URL,Character,,
StyleofHom,Style of Home,Int,LookupMulti,
SlrsIntrst,Sellers Interest,Int,LookupMulti,
Renovatins,Renovations,Int,LookupMulti,
Suite,Suite,Int,LookupMulti,
BasementAr,Basement Area,Int,LookupMulti,
SrvcsCnctd,Services Connected,Int,LookupMulti,
WaterSpply,Water Supply,Int,LookupMulti,
DrctnlxpRr,Directional Exp Rear Yard,Int,LookupMulti,
Constructn,Construction,Int,LookupMulti,
ExterrFnsh,Exterior Finish,Int,LookupMulti,
Roof,Roof,Int,LookupMulti,
Parking,Parking,Int,LookupMulti,
PrkngAccss,Parking Access,Int,LookupMulti,
SitInflncs,Site Influences,Int,LookupMulti,
OutdoorAre,Outdoor Area,Int,LookupMulti,
FuelHeatng,Fuel/Heating,Int,LookupMulti,
FrplcFldby,Fireplace Fueled by,Int,LookupMulti,
FloorFinsh,Floor Finish,Int,LookupMulti,
FtrsIncldd,Features Included,Int,LookupMulti,
Amenities,Amenities,Int,LookupMulti,
MntFInclds,Maint Fee Includes,Int,LookupMulti,
BylwRstrct,Bylaw Restrictions,Int,LookupMulti,
DrctnlxpFc,Directional Exp-Faces,Int,LookupMulti,
PublicRmrk,Public Remarks,Character,,
IntRemrks,Internet Remarks,Character,,
LA1LogonNm,LA1Agent Logon Name,Character,,
LA1Phn1Nbr,LA1Agent Phone1 Number,Character,,
LA1Email,LA1Agent Email,Character,,
LA1Url,LA1Agent Url,Character,,
LA1AgntFNm,LA1Agent Full Name,Character,,
LA2LogonNm,LA2Agent Logon Name,Character,,
LA2Phn1Nbr,LA2Agent Phone1 Number,Character,,
LA2Email,LA2Agent Email,Character,,
LA2Url,LA2Agent Url,Character,,
LA2AgntFNm,LA2Agent Full Name,Character,,
LA3LogonNm,LA3Agent Logon Name,Character,,
LA3Phn1Nbr,LA3Agent Phone1 Number,Character,,
LA3Email,LA3Agent Email,Character,,
LA3Url,LA3Agent Url,Character,,
LA3AgntFNm,LA3Agent Full Name,Character,,
LO1OfcAbrv,LO1Office Abbreviation,Character,,
LO1OfcName,LO1Office Name,Character,,
LO1Phn1Nbr,LO1Office Phone1 Number,Character,,
LO1Url,LO1Office Url,Character,,
LO2OfcAbrv,LO2Office Abbreviation,Character,,
LO2OfcName,LO2Office Name,Character,,
LO2Phn1Nbr,LO2Office Phone1 Number,Character,,
LO2Url,LO2Office Url,Character,,
LO3OfcAbrv,LO3Office Abbreviation,Character,,
LO3OfcName,LO3Office Name,Character,,
LO3Phn1Nbr,LO3Office Phone1 Number,Character,,
LO3Url,LO3Office Url,Character,,
SO1OfcAbrv,SO1Office Abbreviation,Character,,
SO1OfcName,SO1Office Name,Character,,
SO2OfcAbrv,SO2Office Abbreviation,Character,,
SO2OfcName,SO2Office Name,Character,,
SO3OfcAbrv,SO3Office Abbreviation,Character,,
SO3OfcName,SO3Office Name,Character,,
VOWIncl,Pub Listing on Internet,Character,Lookup,
VOWAddr,Display Addr on Internet,Character,Lookup,
INOK,Broker Reciprocity,Character,Lookup,
RoomLev,Room 1 Level,Character,Lookup,
RoomType,Room 1 Type,Character,Lookup,
RoomDim1,Room 1 Dimension 1,Character,,
RoomDim2,Room 1 Dimension 2,Character,,
BathLev,Bath1 Level,Character,Lookup,
BathNoPcs,Bath1 #Pcs,Small,,
