key, en
SOrA:N60SE, Fort St. John - City SE
SOrA:N60SP, Fort St. John - South Peace
SOrA:N60SW, Fort St. John - City SW
SOrA:N60TA, Taylor
SOrA:N64FN, Fort Nelson -Town
SOrA:N64RM, Fort Nelson - Remote
SOrA:N64RU, Fort Nelson - Rural
SOrA:N69MK, Mackenzie -Town
SOrA:N69ML, McLeod Lake
SOrA:N69RU, Mackenzie - Rural
SOrA:N71CA, Carter Light
SOrA:N71CB, Cranbrook Hill
SOrA:N71FO, Foothills
SOrA:N71FR, Fraserview
SOrA:N71HE, Heritage
SOrA:N71HG, Highglen
SOrA:N71HL, Highland Park
SOrA:N71LA, Lakewood
SOrA:N71PC, Pinecone
SOrA:N71PE, Perry
SOrA:N71PH, Peden Hill
SOrA:N71PW, Pinewood
SOrA:N71QU, Quinson
SOrA:N71SL, Spruceland
SOrA:N71WW, Westwood
SOrA:N72AS, Assman
SOrA:N72CE, Central
SOrA:N72CO, Connaught
SOrA:N72CR, Crescents
SOrA:N72DT, Downtown PG
SOrA:N72EE, East End
SOrA:N72MD, Millar Addition
SOrA:N72NV, Nechako View
SOrA:N72SE, Seymour
SOrA:N72SF, South Fort George
SOrA:N72VB, Van Bow
SOrA:N72VL, VLA
SOrA:N73AB, Aberdeen PG
SOrA:N73BW, Birchwood
SOrA:N73EM, Emerald
SOrA:N73ET, Edgewood Terrace
SOrA:N73HH, Hart Highlands
SOrA:N73HV, Harper Valley
SOrA:N73HW, Hart Highway
SOrA:N73IN, Ingala
SOrA:N73MA, Mount Alder
SOrA:N73NC, Nechako Bench
SOrA:N73NK, North Kelly
SOrA:N73NM, North Meadows
SOrA:N73NR, Nechako Ridge
SOrA:N73OS, Old Summit Lake Road
SOrA:N73VV, Valleyview
SOrA:N73WA, West Austin
SOrA:N74CS, Charella/Starlane
SOrA:N74GA, Gauthier
SOrA:N74HA, Haldi
SOrA:N74JE, Jensen
SOrA:N74LC, Lower College
SOrA:N74LF, Lafreniere
SOrA:N74PA, Parkridge
SOrA:N74ST, St. Lawrence Heights
SOrA:N74UC, Upper College
SOrA:N74WA, Western Acres
SOrA:N75AP, Airport
SOrA:N75BC, BCR Industrial
SOrA:N75DA, Danson
SOrA:N75NB, North Blackburn
SOrA:N75SB, South Blackburn
SOrA:N75SN, Sintich
SOrA:N76BL, Bear Lake
SOrA:N76CH, Chief Lake Road
SOrA:N76HR, Hobby Ranches
SOrA:N76NE, Ness Lake
SOrA:N76NU, Nukko Lake
SOrA:N76RE, Reid Lake
SOrA:N76SU, Summit Lake
SOrA:N76SV, Salmon Valley
SOrA:N77BD, Bednesti
SOrA:N77BK, Blackwater
SOrA:N77BV, Beaverley
SOrA:N77CL, Cluculz Lake
SOrA:N77IP, Isle Pierre
SOrA:N77LM, Lower Mud
SOrA:N77MI, Miworth
SOrA:N77UM, Upper Mud
SOrA:N78BH, Buckhorn
SOrA:N78HI, Hixon
SOrA:N78PV, Pineview
SOrA:N78RR, Red Rock/Stoner
SOrA:N80GI, Giscome/Ferndale
SOrA:N80HD, Hansard
SOrA:N80PU, Purden
SOrA:N80SH, Shelley
SOrA:N80TL, Tabor Lake
SOrA:N80UF, Upper Fraser
SOrA:N80WI, Willow River
SOrA:N81DC, Dome Creek
SOrA:N81MB, McBride - Town
SOrA:N81MW, McBride - Rural West
SOrA:N81VM, Valemount - Town
SOrA:N81VS, Valemount - Rural South
SOrA:N81VW, Valemount - Rural West
SOrA:N88LL, Lakelse Lake
SOrA:N88NW, Terrace - Northwest/Rosswood
SOrA:N88RE, Terrace - Rural East/Cedarvale
SOrA:N88SC, Stewart/Cassiar
SOrA:N88SW, Terrace - Rural Southwest
SOrA:N88TE, Terrace - City
SOrA:N88TH, Thornhill
SOrA:N89KI, Kitimat
SOrA:N90, BCNREB
SOrA:N90OT, BCNREB Out of Area
SOrA:N999, BCN Fake SubAreaComm
SOrA:V999, VAN Fake SubAreaComm
SOrA:VBDBD, Bowen Island
SOrA:VBEBE, East Burnaby
SOrA:VBECR, The Crest
SOrA:VBEED, Edmonds BE
SOrA:VBNBP, Brentwood Park
SOrA:VBNCA, Cariboo
SOrA:VBNCB, Central BN
SOrA:VBNCH, Capitol Hill BN
SOrA:VBNFH, Forest Hills BN
SOrA:VBNGR, Government Road
SOrA:VBNLC, Lake City Industrial
SOrA:VBNMO, Montecito
SOrA:VBNOK, Oakdale
SOrA:VBNPC, Parkcrest
SOrA:VBNSD, Sperling-Duthie
SOrA:VBNSF, Simon Fraser Univer.
SOrA:VBNSH, Sullivan Heights
SOrA:VBNSI, Simon Fraser Hills
SOrA:VBNVH, Vancouver Heights
SOrA:VBNWH, Willingdon Heights
SOrA:VBNWR, Westridge BN
SOrA:VBSBB, Big Bend
SOrA:VBSBH, Burnaby Hospital
SOrA:VBSBK, Buckingham Heights
SOrA:VBSBL, Burnaby Lake
SOrA:VBSCP, Central Park BS
SOrA:VBSDL, Deer Lake
SOrA:VBSDP, Deer Lake Place
SOrA:VBSFG, Forest Glen BS
SOrA:VBSGT, Greentree Village
SOrA:VBSGV, Garden Village
SOrA:VBSHG, Highgate
SOrA:VBSME, Metrotown
SOrA:VBSOL, Oaklands
SOrA:VBSSC, Suncrest
SOrA:VBSSS, South Slope
SOrA:VBSUD, Upper Deer Lake
SOrA:VCQBM, Burke Mountain
SOrA:VCQCC, Central Coquitlam
SOrA:VCQCE, Coquitlam East
SOrA:VCQCH, Cape Horn
SOrA:VCQCS, Chineside
SOrA:VCQCW, Coquitlam West
SOrA:VCQCY, Canyon Springs
SOrA:VCQER, Eagle Ridge CQ
SOrA:VCQHC, Harbour Chines
SOrA:VCQHO, Hockaday
SOrA:VCQHP, Harbour Place
SOrA:VCQMB, Meadow Brook
SOrA:VCQML, Maillardville
SOrA:VCQNC, North Coquitlam
SOrA:VCQNH, New Horizons
SOrA:VCQPR, Park Ridge Estates
SOrA:VCQRP, Ranch Park
SOrA:VCQRS, River Springs
SOrA:VCQSC, Scott Creek
SOrA:VCQSV, Summitt View
SOrA:VCQUE, Upper Eagle Ridge
SOrA:VCQWP, Westwood Plateau
SOrA:VCQWS, Westwood Summit CQ
SOrA:VISGB, Gabriola Island
SOrA:VISGL, Galiano Island
SOrA:VISMA, Mayne Island
SOrA:VISOT, Islands Other
SOrA:VISPE, Pender Island
SOrA:VISSS, Salt Spring Island
SOrA:VISST, Saturna Island
SOrA:VLDAI, Annacis Island
SOrA:VLDDM, Delta Manor
SOrA:VLDEA, East Delta
SOrA:VLDHA, Hawthorne
SOrA:VLDHO, Holly
SOrA:VLDLA, Ladner Rural
SOrA:VLDLE, Ladner Elementary
SOrA:VLDNG, Neilsen Grove
SOrA:VLDPG, Port Guichon
SOrA:VLDTB, Tilbury
SOrA:VLDWI, Westham Island
SOrA:VMRAL, Albion
SOrA:VMRCO, Cottonwood MR
SOrA:VMREC, East Central
SOrA:VMRNE, Northeast
SOrA:VMRNO, North Maple Ridge
SOrA:VMRNW, Northwest Maple Ridge
SOrA:VMRSV, Silver Valley
SOrA:VMRSW, Southwest Maple Ridge
SOrA:VMRTH, Thornhill MR
SOrA:VMRWB, Websters Corners
SOrA:VMRWC, West Central
SOrA:VMRWH, Whonnock
SOrA:VNVBD, Boulevard
SOrA:VNVBL, Blueridge NV
SOrA:VNVBR, Braemar
SOrA:VNVCA, Capilano NV
SOrA:VNVCL, Central Lonsdale
SOrA:VNVCV, Calverhall
SOrA:VNVCY, Canyon Heights NV
SOrA:VNVDC, Deep Cove
SOrA:VNVDE, Delbrook
SOrA:VNVDO, Dollarton
SOrA:VNVED, Edgemont
SOrA:VNVFH, Forest Hills NV
SOrA:VNVGW, Grouse Woods
SOrA:VNVHS, Harbourside
SOrA:VNVIA, Indian Arm
SOrA:VNVIR, Indian River
SOrA:VNVLL, Lower Lonsdale
SOrA:VNVLV, Lynn Valley
SOrA:VNVLY, Lynnmour
SOrA:VNVMC, Mosquito Creek
SOrA:VNVNG, Norgate
SOrA:VNVNL, Northlands
SOrA:VNVPH, Pemberton Heights
SOrA:VNVPN, Pemberton NV
SOrA:VNVPP, Princess Park
SOrA:VNVQU, Queensbury
SOrA:VNVRP, Roche Point
SOrA:VNVSY, Seymour NV
SOrA:VNVTE, Tempe
SOrA:VNVUD, Upper Delbrook
SOrA:VNVUL, Upper Lonsdale
SOrA:VNVWL, Westlynn
SOrA:VNVWP, Windsor Park NV
SOrA:VNVWS, Woodlands-Sunshine-Cascade
SOrA:VNVWT, Westlynn Terrace
SOrA:VNWBR, Brunette
SOrA:VNWCH, Connaught Heights
SOrA:VNWDT, Downtown NW
SOrA:VNWFV, Fraserview NW
SOrA:VNWGN, GlenBrooke North
SOrA:VNWMP, Moody Park
SOrA:VNWNA, North Arm
SOrA:VNWQB, Queensborough
SOrA:VNWQP, Queens Park
SOrA:VNWQY, Quay
SOrA:VNWSA, Sapperton
SOrA:VNWTH, The Heights NW
SOrA:VNWUP, Uptown NW
SOrA:VNWWE, West End NW
SOrA:VOTOT, Out of Town
SOrA:VPEBI, Birken
SOrA:VPEDE, Devine
SOrA:VPEDY, D'Arcy
SOrA:VPEIL, Ivey Lake Estates
SOrA:VPELL, Lillooet Lake
SOrA:VPEMC, Mount Currie
SOrA:VPEOR, Owl Ridge
SOrA:VPEPC, Poole Creek
SOrA:VPEPE, Pemberton
SOrA:VPEPM, Pemberton Meadows
SOrA:VPEWE, Walkerville Estates
SOrA:VPICM, Central Meadows
SOrA:VPIMM, Mid Meadows
SOrA:VPINM, North Meadows PI
SOrA:VPISM, South Meadows
SOrA:VPIWM, West Meadows
SOrA:VPMAN, Anmore
SOrA:VPMBL, Belcarra
SOrA:VPMBS, Barber Street
SOrA:VPMCP, College Park PM
SOrA:VPMGL, Glenayre
SOrA:VPMHM, Heritage Mountain
SOrA:VPMHW, Heritage Woods PM
SOrA:VPMIO, Ioco
SOrA:VPMMM, Mountain Meadows
SOrA:VPMNS, North Shore Pt Moody
SOrA:VPMPM, Port Moody Centre
SOrA:VPQBL, Birchland Manor
SOrA:VPQCE, Central Pt Coquitlam
SOrA:VPQCI, Citadel PQ
SOrA:VPQGL, Glenwood PQ
SOrA:VPQLM, Lower Mary Hill
SOrA:VPQLP, Lincoln Park PQ
SOrA:VPQMH, Mary Hill
SOrA:VPQOH, Oxford Heights
SOrA:VPQRD, Riverwood
SOrA:VPQWA, Woodland Acres PQ
SOrA:VRI10, Sea Island
SOrA:VRI11, Bridgeport RI
SOrA:VRI12, West Cambie
SOrA:VRI13, East Cambie
SOrA:VRI20, Terra Nova
SOrA:VRI21, Riverdale RI
SOrA:VRI22, Quilchena RI
SOrA:VRI23, Granville
SOrA:VRI30, Seafair
SOrA:VRI31, Boyd Park
SOrA:VRI32, Lackner
SOrA:VRI40, Steveston Village
SOrA:VRI41, Steveston North
SOrA:VRI42, Steveston South
SOrA:VRI43, Westwind
SOrA:VRI50, Woodwards
SOrA:VRI51, Broadmoor
SOrA:VRI52, Garden City
SOrA:VRI53, Saunders
SOrA:VRI54, South Arm
SOrA:VRI60, Brighouse
SOrA:VRI61, Brighouse South
SOrA:VRI62, McLennan North
SOrA:VRI70, Gilmore
SOrA:VRI71, McLennan
SOrA:VRI72, East Richmond
SOrA:VRI80, McNair
SOrA:VRI81, Ironwood
SOrA:VRI90, Hamilton RI
SOrA:VSCGB, Gibsons & Area
SOrA:VSCGM, Gambier Island
SOrA:VSCHB, Halfmn Bay Secret Cv Redroofs
SOrA:VSCKE, Keats Island
SOrA:VSCNE, Nelson Island
SOrA:VSCPE, Pender Harbour Egmont
SOrA:VSCRC, Roberts Creek
SOrA:VSCSD, Sechelt District
SOrA:VSQBB, Britannia Beach
SOrA:VSQBC, Brennan Center
SOrA:VSQBP, Business Park
SOrA:VSQBR, Brackendale
SOrA:VSQDT, Downtown SQ
SOrA:VSQDV, Dentville
SOrA:VSQGE, Garibaldi Estates
SOrA:VSQGH, Garibaldi Highlands
SOrA:VSQHH, Hospital Hill
SOrA:VSQNY, Northyards
SOrA:VSQPL, Plateau
SOrA:VSQPV, Paradise Valley
SOrA:VSQRC, Ring Creek
SOrA:VSQSR, Squamish Rural
SOrA:VSQTA, Tantalus
SOrA:VSQUH, University Highlands
SOrA:VSQUS, Upper Squamish
SOrA:VSQVC, Valleycliffe
SOrA:VTWBB, Boundary Beach
SOrA:VTWBG, Beach Grove
SOrA:VTWCD, Cliff Drive
SOrA:VTWCT, Tsawwassen Central
SOrA:VTWEB, English Bluff
SOrA:VTWPH, Pebble Hill
SOrA:VTWTE, Tsawwassen East
SOrA:VVECH, Champlain Heights
SOrA:VVECO, Collingwood VE
SOrA:VVEDT, Downtown VE
SOrA:VVEFR, Fraser VE
SOrA:VVEFV, Fraserview VE
SOrA:VVEGW, Grandview Woodland
SOrA:VVEHA, Hastings
SOrA:VVEKL, Killarney VE
SOrA:VVEKN, Knight
SOrA:VVEMN, Main
SOrA:VVEMP, Mount Pleasant VE
SOrA:VVERE, Renfrew VE
SOrA:VVERH, Renfrew Heights
SOrA:VVESM, South Marine
SOrA:VVEST, Strathcona
SOrA:VVESU, Hastings Sunrise
SOrA:VVESV, South Vancouver
SOrA:VVEVI, Victoria VE
SOrA:VVWAR, Arbutus
SOrA:VVWCA, Cambie
SOrA:VVWCB, Coal Harbour
SOrA:VVWDT, Downtown VW
SOrA:VVWDU, Dunbar
SOrA:VVWFA, Fairview VW
SOrA:VVWFC, False Creek
SOrA:VVWKE, Kerrisdale
SOrA:VVWKT, Kitsilano
SOrA:VVWMH, MacKenzie Heights
SOrA:VVWMP, Mount Pleasant VW
SOrA:VVWMR, Marpole
SOrA:VVWOA, Oakridge VW
SOrA:VVWPG, Point Grey
SOrA:VVWQU, Quilchena
SOrA:VVWSC, South Cambie
SOrA:VVWSG, South Granville
SOrA:VVWSH, Shaughnessy
SOrA:VVWSL, Southlands
SOrA:VVWSW, S.W. Marine
SOrA:VVWUL, University VW
SOrA:VVWWE, West End VW
SOrA:VVWYA, Yaletown
SOrA:VWHAM, Alpine Meadows
SOrA:VWHAV, Alta Vista
SOrA:VWHBA, Bayshores
SOrA:VWHBE, Benchlands
SOrA:VWHBH, Blueberry Hill
SOrA:VWHBR, Brio
SOrA:VWHBT, Black Tusk - Pinecrest
SOrA:VWHCA, Callaghan
SOrA:VWHCC, Cheakamus Crossing
SOrA:VWHCE, Whistler Cay Estates
SOrA:VWHCH, Whistler Cay Heights
SOrA:VWHCR, Whistler Creek
SOrA:VWHEE, Emerald Estates
SOrA:VWHFJ, Function Junction
SOrA:VWHGL, Green Lake Estates
SOrA:VWHNE, Nesters
SOrA:VWHNO, Nordic
SOrA:VWHRW, Rainbow
SOrA:VWHSC, Spring Creek
SOrA:VWHSG, Spruce Grove
SOrA:VWHVI, Whistler Village
SOrA:VWHWE, Westside
SOrA:VWHWG, White Gold
SOrA:VWHWW, WedgeWoods
SOrA:VWVAL, Altamont
SOrA:VWVAM, Ambleside
SOrA:VWVBP, British Properties
SOrA:VWVBR, Bayridge
SOrA:VWVCA, Caulfeild
SOrA:VWVCB, Canterbury WV
SOrA:VWVCD, Cedardale
SOrA:VWVCE, Cypress Park Estates
SOrA:VWVCP, Chelsea Park
SOrA:VWVCW, Chartwell
SOrA:VWVCY, Cypress
SOrA:VWVDR, Deer Ridge WV
SOrA:VWVDU, Dundarave
SOrA:VWVEH, Eagle Harbour
SOrA:VWVER, Eagleridge
SOrA:VWVFC, Furry Creek
SOrA:VWVGL, Gleneagles
SOrA:VWVGM, Glenmore
SOrA:VWVHB, Horseshoe Bay WV
SOrA:VWVHS, Howe Sound
SOrA:VWVLB, Lions Bay
SOrA:VWVOC, Olde Caulfeild
SOrA:VWVPA, Passage Island
SOrA:VWVPO, Porteau Cove
SOrA:VWVPR, Park Royal
SOrA:VWVPV, Panorama Village
SOrA:VWVQU, Queens
SOrA:VWVRR, Rockridge
SOrA:VWVSC, Sandy Cove
SOrA:VWVSH, Sentinel Hill
SOrA:VWVUC, Upper Caulfeild
SOrA:VWVWB, West Bay
SOrA:VWVWC, Whytecliff
SOrA:VWVWE, Whitby Estates
SOrA:VWVWH, Westhill
SOrA:VWVWM, Westmount WV
SOrA:N88AT, Atlin
SOrA:N27LI, Likely
SOrA:VTWTN, Tsawwassen North
BoardID:F, Fraser Valley Real Estate Board
BoardID:H, Chilliwack & District Real Estate Board
BoardID:N, BC Northern Real Estate Board
BoardID:V, Real Estate Board of Greater Vancouver
Clss:DETD, Detached
TypeDwel:HACR, House with Acreage
TypeDwel:HOUSE, House/Single Family
TypeDwel:MANUF, Manufactured
TypeDwel:MNFLD, Manufactured with Land
TypeDwel:OTHER, Other
TypeDwel:RECRE, Recreational
TypeDwel:TWNHS, Townhouse
TitletoLnd:FHNST, Freehold NonStrata
TitletoLnd:FHST, Freehold Strata
TitletoLnd:FIRST, First Nations Lease
TitletoLnd:LNPNS, Leasehold not prepaid-NonStrata
TitletoLnd:LNPS, Leasehold not prepaid-Strata
TitletoLnd:LPNS, Leasehold prepaid-NonStrata
TitletoLnd:LPS, Leasehold prepaid-Strata
TitletoLnd:OTHER, Other
TitletoLnd:SHCOP, Shares in Co-operative
TitletoLnd:TSHAR, Time Share
TitletoLnd:UNINT, Undivided Interest
TitletoLnd:VACOW, Vacation Ownership
PrDsclYOrN:N, No
PrDsclYOrN:Y, Yes
AgeType:NE, New
AgeType:OT, Old Timer
AgeType:UC, Under Construction
TaxUtlIncl:N, No
TaxUtlIncl:Y, Yes
FloodPln:E, Exempt
FloodPln:N, No
FloodPln:Y, Yes
Found:CONBK, Concrete Block
Found:CONCP, Concrete Perimeter
Found:NONE, None
Found:OTHER, Other
Found:PRSWD, Preserved Wood
Found:SLAB, Concrete Slab
RainScr:F, Full
RainScr:N, No
RainScr:P, Partial
DrvwyFinsh:AGGRT, Aggregate
DrvwyFinsh:ASPHT, Asphalt
DrvwyFinsh:CNCRT, Concrete
DrvwyFinsh:GRAVL, Gravel
DrvwyFinsh:OTHER, Other
DrvwyFinsh:PAVST, Paving Stone
View:N, No
View:Y, Yes
RghdInBth:N, No
RghdInBth:Y, Yes
Rooms:Type:ATTIC, Attic
Rooms:Type:BARRM, Bar Room
Rooms:Type:BDRM, Bedroom
Rooms:Type:BUTLP, Butlers Pantry
Rooms:Type:CLDRM, Cold Room
Rooms:Type:CONSE, Conservatory
Rooms:Type:DEN, Den
Rooms:Type:DINRM, Dining Room
Rooms:Type:DRESS, Dressing Room
Rooms:Type:EATAR, Eating Area
Rooms:Type:FAMRM, Family Room
Rooms:Type:FLEX, Flex Room
Rooms:Type:FOYER, Foyer
Rooms:Type:GAMES, Games Room
Rooms:Type:GREAT, Great Room
Rooms:Type:GYM, Gym
Rooms:Type:HOBBY, Hobby Room
Rooms:Type:KITCH, Kitchen
Rooms:Type:LAUND, Laundry
Rooms:Type:LIBRY, Library
Rooms:Type:LOFT, Loft
Rooms:Type:LVGRM, Living Room
Rooms:Type:MBDRM, Master Bedroom
Rooms:Type:MEDIA, Media Room
Rooms:Type:MUDRM, Mud Room
Rooms:Type:NOOK, Nook
Rooms:Type:OFFIC, Office
Rooms:Type:OTHER, Other
Rooms:Type:PANTR, Pantry
Rooms:Type:PATIO, Patio
Rooms:Type:PLYRM, Playroom
Rooms:Type:PORCH, Porch (enclosed)
Rooms:Type:RECRM, Recreation Room
Rooms:Type:SAUNA, Sauna
Rooms:Type:SOLAR, Solarium
Rooms:Type:STMRM, Steam Room
Rooms:Type:STORE, Storage
Rooms:Type:STUDY, Study
Rooms:Type:UTIL, Utility
Rooms:Type:WICLO, Walk-In Closet
Rooms:Type:WINE, Wine Room
Rooms:Type:WKSHP, Workshop
Rooms:Type:WOKKT, Wok Kitchen
Rooms:Lev:ABV, Above
Rooms:Lev:BLW, Below
Rooms:Lev:BST, Bsmt
Rooms:Lev:MN, Main
Baths:Lev:ABV, Above
Baths:Lev:BLW, Below
Baths:Lev:BST, Bsmt
Baths:Lev:MN, Main
PropType:D, Residential Detached
PropType:A, Residential Attached
PropType:M, Multifamily
PropType:L, Land Only
GSTIncl:N, No
GSTIncl:Y, Yes
MeasType:F, Feet
MeasType:M, Metres
RestrAge:19+, 19+
RestrAge:35+, 35+
RestrAge:45+, 45+
RestrAge:55+, 55+
RestrAge:65+, 65+
RestrAge:OTHER, Other
NoofPets:1, 1
NoofPets:2, 2
NoofPets:NR, No Restriction
StyleofHom:1, 1 1/2 Storey
StyleofHom:2, 1 Storey
StyleofHom:3, 2 Storey
StyleofHom:4, 2 Storey w/Bsmt.
StyleofHom:5, 3 Level Split
StyleofHom:6, 3 Storey
StyleofHom:7, 4 Level Split
StyleofHom:8, 5 Plus Level
StyleofHom:9, Basement Entry
StyleofHom:10, Carriage/Coach House
StyleofHom:11, Corner Unit
StyleofHom:12, End Unit
StyleofHom:13, Floating Home
StyleofHom:14, Ground Level Unit
StyleofHom:15, Inside Unit
StyleofHom:16, Laneway House
StyleofHom:17, Live/Work Studio
StyleofHom:18, Loft/Warehouse Conv.
StyleofHom:19, Manufactured/Mobile
StyleofHom:20, Other
StyleofHom:21, Penthouse
StyleofHom:22, Rancher/Bungalow
StyleofHom:23, Rancher/Bungalow w/Bsmt.
StyleofHom:24, Rancher/Bungalow w/Loft
StyleofHom:25, Split Entry
StyleofHom:26, Upper Unit
StyleofHom:2084, 3 Storey w/Bsmt
StyleofHom:2085, Bachelor/Studio
StyleofHom:2086, Cabin
StyleofHom:2087, Reverse 2 Storey
StyleofHom:2088, Reverse 2 Storey w/Bsmt
SlrsIntrst:27, Assign. of Contract
SlrsIntrst:28, Committee/Trustee
SlrsIntrst:29, Contractual Interest
SlrsIntrst:30, Court Ordered Sale
SlrsIntrst:31, Estate Sale
SlrsIntrst:32, Option
SlrsIntrst:33, Power of Attorney
SlrsIntrst:34, Registered Owner
Renovatins:39, Addition
Renovatins:40, Completely
Renovatins:41, Other
Renovatins:42, Partly
Renovatins:43, Raised
Renovatins:44, Substantially Rebuilt
Suite:45, Legal Suite
Suite:46, Licensed Suite
Suite:47, None
Suite:48, Other
Suite:49, Unauthorized Suite
BasementAr:50, Crawl
BasementAr:51, Full
BasementAr:52, Fully Finished
BasementAr:53, None
BasementAr:54, Part
BasementAr:55, Partly Finished
BasementAr:56, Separate Entry
BasementAr:57, Unfinished
SrvcsCnctd:58, Community
SrvcsCnctd:59, Electricity
SrvcsCnctd:60, Lagoon
SrvcsCnctd:61, Natural Gas
SrvcsCnctd:62, None
SrvcsCnctd:63, Sanitary Sewer
SrvcsCnctd:64, Septic
SrvcsCnctd:65, Storm Sewer
SrvcsCnctd:66, Unknown
SrvcsCnctd:67, Water
WaterSpply:68, Cistern
WaterSpply:69, City/Municipal
WaterSpply:70, Community
WaterSpply:71, None
WaterSpply:72, Other
WaterSpply:73, Other-Licensed
WaterSpply:74, Sandpoint
WaterSpply:75, Well - Drilled
WaterSpply:76, Well - Shallow
DrctnlxpRr:77, East
DrctnlxpRr:78, North
DrctnlxpRr:79, Northeast
DrctnlxpRr:80, Northwest
DrctnlxpRr:81, South
DrctnlxpRr:82, Southeast
DrctnlxpRr:83, Southwest
DrctnlxpRr:84, West
Constructn:85, Brick
Constructn:86, Concrete
Constructn:87, Concrete Block
Constructn:88, Concrete Frame
Constructn:89, Frame - Metal
Constructn:90, Frame - Wood
Constructn:91, Log
Constructn:92, Manufactured/Mobile
Constructn:93, Modular/Prefab
Constructn:94, Other
ExterrFnsh:95, Aluminum
ExterrFnsh:96, Brick
ExterrFnsh:97, Concrete
ExterrFnsh:98, Glass
ExterrFnsh:99, Fibre Cement Board
ExterrFnsh:100, Log
ExterrFnsh:101, Metal
ExterrFnsh:102, Mixed
ExterrFnsh:103, Other
ExterrFnsh:104, Stone
ExterrFnsh:105, Stucco
ExterrFnsh:106, Vinyl
ExterrFnsh:107, Wood
Roof:108, Asphalt
Roof:109, Fibreglass
Roof:110, Metal
Roof:111, Other
Roof:112, Tar & Gravel
Roof:113, Tile - Composite
Roof:114, Tile - Concrete
Roof:115, Torch-On
Roof:116, Wood
Parking:117, Add. Parking Avail.
Parking:118, Carport & Garage
Parking:119, Carport; Multiple
Parking:120, Carport; Single
Parking:121, DetachedGrge/Carport
Parking:122, Garage Underbuilding
Parking:123, Garage; Double
Parking:124, Garage; Single
Parking:125, Garage; Triple
Parking:126, Garage; Underground
Parking:127, Grge/Double Tandem
Parking:128, None
Parking:129, Open
Parking:130, Other
Parking:131, RV Parking Avail.
Parking:132, Tandem Parking
Parking:133, Visitor Parking
PrkngAccss:134, Front
PrkngAccss:135, Lane
PrkngAccss:136, Rear
PrkngAccss:137, Side
SitInflncs:138, Adult Oriented
SitInflncs:139, Central Location
SitInflncs:140, Cleared
SitInflncs:141, Cul-de-Sac
SitInflncs:142, Gated Complex
SitInflncs:143, Golf Course Dev.
SitInflncs:144, Golf Course Nearby
SitInflncs:145, Gravel Road
SitInflncs:146, Greenbelt
SitInflncs:147, Lane Access
SitInflncs:148, Marina Nearby
SitInflncs:149, Paved Road
SitInflncs:150, Private Setting
SitInflncs:151, Private Yard
SitInflncs:152, Recreation Nearby
SitInflncs:153, Retirement Community
SitInflncs:154, Rural Setting
SitInflncs:155, Shopping Nearby
SitInflncs:156, Ski Hill Nearby
SitInflncs:157, Treed
SitInflncs:158, Waterfront Property
SitInflncs:1578, Managed Forest Land
OutdoorAre:159, Balcony(s)
OutdoorAre:160, Balcny(s) Patio(s) Dck(s)
OutdoorAre:161, Fenced Yard
OutdoorAre:162, None
OutdoorAre:163, Patio(s)
OutdoorAre:164, Patio(s) & Deck(s)
OutdoorAre:165, Rooftop Deck
OutdoorAre:166, Sundeck(s)
FuelHeatng:167, Baseboard
FuelHeatng:168, Electric
FuelHeatng:169, Forced Air
FuelHeatng:170, Geothermal
FuelHeatng:171, Heat Pump
FuelHeatng:172, Hot Water
FuelHeatng:173, Mixed
FuelHeatng:174, Natural Gas
FuelHeatng:175, Oil
FuelHeatng:176, Other
FuelHeatng:177, Propane Gas
FuelHeatng:178, Radiant
FuelHeatng:179, Solar
FuelHeatng:180, Wood
FrplcFldby:181, Electric
FrplcFldby:182, Propane Gas
FrplcFldby:183, Natural Gas
FrplcFldby:184, None
FrplcFldby:185, Other
FrplcFldby:186, Pellet
FrplcFldby:187, Wood
FloorFinsh:188, Concrete
FloorFinsh:189, Hardwood
FloorFinsh:190, Laminate
FloorFinsh:191, Mixed
FloorFinsh:192, Other
FloorFinsh:193, Softwood
FloorFinsh:194, Tile
FloorFinsh:195, Vinyl/Linoleum
FloorFinsh:196, Wall/Wall/Mixed
FtrsIncldd:213, Air Conditioning
FtrsIncldd:214, Clothes Dryer
FtrsIncldd:215, Clothes Washer
FtrsIncldd:216, Clothes Washer/Dryer
FtrsIncldd:217, ClthWsh/Dryr/Frdg/Stve/DW
FtrsIncldd:218, Compactor - Garbage
FtrsIncldd:219, Dishwasher
FtrsIncldd:220, Disposal - Waste
FtrsIncldd:221, Drapes/Window Coverings
FtrsIncldd:222, Fireplace Insert
FtrsIncldd:223, Free Stand F/P or Wdstove
FtrsIncldd:224, Freezer
FtrsIncldd:225, Garage Door Opener
FtrsIncldd:226, Heat Recov. Vent.
FtrsIncldd:227, Hot Tub Spa/Swirlpool
FtrsIncldd:228, Hot Water Dispenser
FtrsIncldd:229, Humidifier
FtrsIncldd:230, Intercom
FtrsIncldd:231, Jetted Bathtub
FtrsIncldd:232, Microwave
FtrsIncldd:233, Other - See Remarks
FtrsIncldd:234, Oven - Built In
FtrsIncldd:235, Pantry
FtrsIncldd:236, Range Top
FtrsIncldd:237, Refrigerator
FtrsIncldd:238, Satellite Dish
FtrsIncldd:239, Security - Roughed In
FtrsIncldd:240, Security System
FtrsIncldd:241, Smoke Alarm
FtrsIncldd:242, Sprinkler - Fire
